longitude,latitude
12.821196736801687,80.04482474269902
12.8212396875693,80.04479756561778
12.82134953156798,80.04479488340878
12.82156137343009,80.04478415457277
12.821794137739708,80.04479220119977
12.822019055856913,80.04479488340878
12.82232766410929,80.04480293003579
12.822581350270713,80.04478415457277
12.822845497464776,80.04479220119853
12.822903034434855,80.04456689563945
12.822892573168255,80.04430940357516
12.822874265950686,80.04411896673594
12.82288211190124,80.04399290291279
12.822889957851537,80.04379978386457
12.822905649751434,80.04359325377133
12.822900419118517,80.04337599483905
12.822871650634069,80.04300853220563
12.822827190242538,80.0429012438455
12.822853343414973,80.04274567572332
12.8229736479732,80.0427295824693
12.823014613210995,80.0427701172609
12.823070687515271,80.04284720517285
12.8231604709548,80.04284252314281
12.823353905433544,80.04284740760292
12.823665127358115,80.0428447253939
12.82396327237035,80.04288227631996
12.824258801726932,80.04289300515596
12.82437649031215,80.04293860270901
12.824321172215384,80.0431570998247
12.82434403985859,80.04333690359829
12.82436182580186,80.04348283129859
12.824384693441374,80.04370693455263
12.824392315987412,80.04383462129039
12.824392315987643,80.0440613303997
12.824405020230532,80.04428022195015
12.824407561079019,80.04454601883285
12.824399938533452,80.04489259712108
12.824407561079207,80.0449811960859
12.82441518362456,80.04523135785784
12.824412642776128,80.04546588451906
12.824471082283392,80.04545806696368
12.824539685165902,80.0454476435565
